"number" "anime_name_english" "anime_name_japanese" "rating" "favorite_count" "user_count" "airing_start" "year" "month" "day" "airing_end" "popularity_rank" "rating_rank" "age_rating" "age_rating_Guide" "total_episode" "total_length" "Genres" "Categories"
42530 "tate-no-yuusha-no-nariagari-2" "盾の勇者の成り上がり 2" 82.16 17 5131 "2022-04-30" 2022 4 30 NA 1996 78 "PG" "Teens 13 or older" NA 0 "" "Action/Adventure/Comedy/Drama/Fantasy/Isekai/Romance"
44240 "shingeki-no-kyojin-the-final-season-part-2" "進撃の巨人 The Final Season Part 2" 82.03 0 0 "2022-01-09" 2022 1 9 NA 17956 218 "R" "Violence, Profanity" NA 0 "" "Action/Drama/Dystopia/Fantasy/Henshin/Military/Shounen/Revenge/Steampunk/Super Power"
42611 "arifureta-shokugyou-de-sekai-saikyou-2" "ありふれた職業で世界最強 2" 81.1 11 2364 "2022-01-31" 2022 1 31 NA 3217 395 "PG" "Teens 13 or older" NA 0 "" "Action/Adventure/Conspiracy/Fantasy/Vampire/Harem/Romance/Isekai/Loli/Magic"
45249 "kimetsu-no-yaiba-mugen-ressha-hen" "鬼滅の刃 無限列車編" 87.37 0 0 "2021-10-10" 2021 10 10 "2021-11-28" 18551 1 "R" "17+" 7 0 "" "Action/Swordplay/Shounen/Demon/Historical/Fantasy/Supernatural/Adventure"
44081 "kimetsu-no-yaiba-yuukaku-hen" "鬼滅の刃 遊郭編" 86.19 0 0 "2021-12-05" 2021 12 5 NA 18605 4 "PG" NA 11 0 "" "Action/Demon/Supernatural/Shounen/Historical"
43321 "tokyo-revengers" "東京リベンジャーズ" 84.55 1 285 "2021-04-11" 2021 4 11 "2021-09-19" 7910 14 "R" NA 24 -1265 "" "Drama/Action/School Life/Shounen/Time Travel/Crime/Delinquent"
43108 "boku-no-hero-academia-5th-season" "僕のヒーローアカデミア 5th シーズン" 84.53 40 5654 "2021-03-27" 2021 3 27 "2021-09-25" 1875 15 "PG" NA 25 -1800 "" "Action/Superhero/Super Power/School Life/Shounen"
44209 "boku-no-hero-academia-the-movie-3" "僕のヒーローアカデミア THE MOVIE ワールド ヒーローズ ミッション" 84.07 0 0 "2021-08-06" 2021 8 6 "2021-08-06" 18362 19 "PG" "Teens 13 or older" 1 0 "" "Action/Shounen/Super Power/Superhero"
43907 "mushoku-tensei-isekai-ittara-honki-dasu-part-2" "無職転生 ～異世界行ったら本気だす～ 第2クール" 82.24 0 29 "2021-10-03" 2021 10 3 NA 14898 50 "R" "17+ (violence & profanity)" 12 NA "" "Drama/Fantasy/Magic/Fantasy World/Isekai"
44551 "komi-san-wa-komyushou-desu" "古見さんは、コミュ症です。" 82.22 0 0 "2021-10-06" 2021 10 6 NA 18438 52 "PG" NA NA 0 "" "Comedy/Romance/Slice of Life/School Life"
42149 "kobayashi-san-chi-no-maid-dragon-S" "小林さんちのメイドラゴン S" 82.19 2 2729 "2021-07-08" 2021 7 8 "2021-09-23" 2967 58 "PG" "Teens 13 or older" 12 288 "" "Slice of Life/Comedy/Fantasy/Dragon/Maid"
43545 "horimiya" "ホリミヤ" 82.17 21 5334 "2021-01-10" 2021 1 10 "2021-04-04" 1949 68 "PG" "Teens 13 or older" 13 299 "" "High School/Romance/School Life/Shounen/Comedy/Slice of Life"
43595 "sk8" "SK∞ エスケーエイト" 82.17 15 3174 "2021-01-10" 2021 1 10 "2021-04-04" 2715 72 "PG" "Teens 13 or older" 12 276 "" "Sports/School Life/Action/Comedy/Drama/Slapstick"
42196 "tensei-shitara-slime-datta-ken-2" "転生したらスライムだった件2" 82.17 69 10154 "2021-01-12" 2021 1 12 "2021-03-30" 1160 71 "PG" "Teens 13 or older" 12 276 "" "Fantasy/Comedy/Adventure/Isekai/Fantasy World/Magic/Shounen"
44398 "86-part-2" "86－エイティシックス－ 第2クール" 82.17 0 0 "2021-10-02" 2021 10 2 NA 18405 70 "G" NA 12 0 "" "Drama/Science Fiction/War"
43361 "tensei-shitara-slime-datta-ken-2nd-season-part-2" "転生したらスライムだった件" 82.16 5 1279 "2021-07-06" 2021 7 6 "2021-09-21" 4330 77 "PG" "Teens 13 or older" 12 276 "" "Comedy/Fantasy/Isekai"
42323 "mushoku-tensei-isekai-ittara-honki-dasu" "無職転生 ～異世界行ったら本気だす～" 82.15 10 4740 "2021-01-10" 2021 1 10 "2021-03-22" 2115 80 "R" "17+ (violence & profanity)" 11 264 "" "Fantasy/Magic/Isekai/Ecchi/Drama/Harem"
42867 "dr-stone-two" "ドクターストーン STONE WARS" 82.14 23 9336 "2021-01-14" 2021 1 14 "2021-03-25" 1236 89 "PG" "Teens 13 or older" 11 264 "" "Future/Disaster/Adventure/Post Apocalypse/Action/Plot Continuity/Shounen/Science Fiction/Comedy"
43305 "bungou-stray-dogs-wan" "文豪ストレイドッグス わん！" 82.12 4 703 "2021-01-13" 2021 1 13 "2021-03-31" 5518 106 "PG" "Teens 13 or older" 12 -33 "" "Slice of Life/Supernatural/Comedy/Super Deformed"
